age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,y
30,10,1,1,no,1787,no,no,0,19,10,79,1,-1,0,no
33,7,1,2,no,4789,yes,yes,0,11,5,220,1,339,4,no
35,4,0,3,no,1350,yes,no,0,16,4,185,1,330,1,no
35,4,0,3,no,747,no,no,0,23,2,141,2,176,3,no
36,6,1,3,no,307,yes,no,0,14,5,341,1,330,2,no
39,9,1,2,no,147,yes,no,0,6,5,151,2,-1,0,no
43,7,1,1,no,-88,yes,yes,0,17,4,313,1,147,2,no
43,0,1,2,no,264,yes,no,0,17,4,113,2,-1,0,no
36,9,1,3,no,1109,no,no,0,13,8,328,2,-1,0,no
20,8,0,2,no,502,no,no,0,30,4,261,1,-1,0,yes
31,1,1,2,no,360,yes,yes,0,29,1,89,1,241,1,no
40,4,1,3,no,194,no,yes,0,29,8,189,2,-1,0,no
56,9,1,2,no,4073,no,no,0,27,8,239,5,-1,0,no
37,0,0,3,no,2317,yes,no,0,20,4,114,1,152,2,no
31,7,1,2,no,132,no,no,0,7,7,148,1,152,1,no
42,4,3,3,no,16,no,no,0,19,11,140,3,-1,0,no
44,2,1,2,no,93,no,no,0,7,7,125,2,-1,0,no
26,3,1,3,no,543,no,no,0,30,1,169,3,-1,0,no
41,4,1,3,no,5883,no,no,0,20,11,182,2,-1,0,no
56,6,1,2,no,784,no,yes,0,30,7,149,2,-1,0,no
53,0,1,2,no,105,no,yes,0,21,8,74,2,-1,0,no
68,5,3,2,no,4189,no,no,1,14,7,897,2,-1,0,yes
31,9,1,2,no,171,no,no,0,27,8,81,3,-1,0,no
59,4,1,2,no,42,no,no,0,21,11,40,1,-1,0,no
32,4,0,3,no,2536,yes,no,0,26,8,958,6,-1,0,yes
49,9,1,3,no,1235,no,no,0,13,8,354,3,-1,0,yes
78,5,3,1,no,229,no,no,1,22,10,97,1,-1,0,yes
32,1,1,2,no,2089,yes,no,0,14,11,132,1,-1,0,yes
33,4,1,2,no,3935,yes,no,0,6,5,765,1,342,2,yes
36,4,0,3,no,553,no,no,0,11,8,106,2,-1,0,no
52,1,1,2,no,1117,yes,no,0,13,5,365,1,-1,0,no
32,9,1,3,no,396,yes,no,0,13,5,205,3,-1,0,no
32,9,0,3,no,2204,yes,no,0,21,11,11,4,-1,0,no
55,1,1,1,no,145,no,no,1,2,2,59,3,5,2,no
32,2,0,1,yes,-849,yes,yes,0,4,2,204,1,-1,0,no
37,9,0,2,no,228,yes,no,0,20,8,1740,2,-1,0,no
38,9,0,2,no,50,no,no,0,29,8,98,2,-1,0,no
34,9,1,3,no,1539,yes,no,0,15,6,441,1,56,1,yes
53,1,1,2,no,2231,yes,no,0,14,7,272,3,-1,0,no
48,0,1,2,no,3064,yes,no,1,15,7,159,2,-1,0,no
57,4,1,2,no,82,no,yes,1,4,2,140,1,-1,0,no
33,6,0,3,no,2155,no,no,0,17,11,295,1,-1,0,no
41,1,1,1,no,-516,no,yes,1,8,7,554,3,-1,0,no
63,5,1,2,no,415,yes,no,0,7,10,323,1,-1,0,no
48,4,1,3,no,5887,no,no,0,13,8,227,2,-1,0,no
48,7,1,2,no,1355,no,no,0,4,7,134,2,-1,0,no
56,0,1,2,no,16873,no,no,0,7,10,223,1,-1,0,no
51,1,3,2,no,203,yes,no,0,8,5,134,1,170,5,no
31,7,1,2,no,338,yes,no,0,28,1,155,1,-1,0,no
29,9,1,2,no,444,yes,no,0,21,7,130,4,-1,0,no
41,4,1,2,no,0,no,yes,0,7,7,630,3,-1,0,no
32,9,0,3,no,360,no,no,0,19,11,164,2,-1,0,no
37,4,1,3,no,0,no,no,0,16,7,268,2,182,3,yes
54,4,3,3,no,3222,no,no,0,14,8,67,2,-1,0,no
41,1,3,2,no,174,yes,no,0,14,5,367,2,297,1,no
40,9,0,2,no,591,no,yes,0,14,8,87,6,-1,0,no
50,1,3,1,no,388,no,no,0,5,2,701,1,-1,0,no
40,10,1,2,no,219,yes,no,0,17,11,204,2,196,1,no
27,0,3,2,no,451,yes,no,0,16,7,652,1,-1,0,yes
60,5,1,1,no,5,no,no,0,26,8,63,2,-1,0,no
28,0,0,2,no,177,yes,yes,0,6,5,150,1,-1,0,no
52,7,1,2,no,657,no,no,1,7,7,398,2,460,2,yes
37,4,1,3,no,1315,no,no,0,30,6,224,1,-1,0,yes
41,9,0,2,no,879,no,yes,0,7,7,60,4,-1,0,no
38,0,1,2,no,424,yes,no,0,17,4,279,1,-1,0,no
39,1,1,1,no,111,no,no,0,18,11,201,2,-1,0,no
27,7,0,2,no,-195,yes,no,0,18,5,391,1,-1,0,yes
32,4,0,3,no,3616,no,no,0,14,8,165,2,-1,0,no
57,1,1,2,no,14093,no,no,0,11,8,231,5,-1,0,no
30,0,0,3,no,261,no,no,0,19,10,233,1,137,20,no
36,1,3,2,no,2843,no,no,0,12,2,473,1,182,1,no
31,10,0,1,no,406,no,no,0,4,2,736,1,-1,0,yes
38,4,0,3,no,493,yes,no,0,11,5,553,1,367,7,no
49,9,1,2,no,5996,no,no,1,21,11,345,2,-1,0,no
57,7,0,1,no,3777,yes,no,1,13,5,65,2,-1,0,no
32,4,0,3,no,574,yes,no,0,14,4,259,2,145,3,no
33,6,1,3,no,483,yes,no,0,3,2,280,2,-1,0,no
56,10,1,1,no,3391,no,no,0,21,4,243,1,-1,0,yes
27,3,1,1,no,0,yes,no,0,23,7,435,3,-1,0,no
21,8,0,2,no,2488,no,no,0,30,6,258,6,169,3,yes
58,4,1,3,no,1517,yes,no,1,29,7,7,5,-1,0,no
32,6,1,2,no,217,yes,yes,0,15,7,317,5,-1,0,no
33,1,0,2,no,22,no,no,0,30,1,76,2,207,1,no
25,8,0,2,no,331,no,no,1,26,8,170,4,-1,0,yes
25,9,0,2,no,505,no,yes,0,17,11,386,2,-1,0,yes
30,7,1,2,no,1808,yes,no,0,18,5,83,2,-1,0,no
22,0,0,2,no,4111,no,yes,0,19,8,65,1,-1,0,no
39,1,1,1,no,52,no,no,0,13,8,69,1,-1,0,no
