job,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,y
10,1787,1,1,0,19,10,79,1,-1,0,no
7,4789,0,0,0,11,5,220,1,339,4,no
4,1350,0,1,0,16,4,185,1,330,1,no
4,747,1,1,0,23,2,141,2,176,3,no
6,307,0,1,0,14,5,341,1,330,2,no
9,147,0,1,0,6,5,151,2,-1,0,no
7,-88,0,0,0,17,4,313,1,147,2,no
0,264,0,1,0,17,4,113,2,-1,0,no
9,1109,1,1,0,13,8,328,2,-1,0,no
8,502,1,1,0,30,4,261,1,-1,0,yes
1,360,0,0,0,29,1,89,1,241,1,no
4,194,1,0,0,29,8,189,2,-1,0,no
9,4073,1,1,0,27,8,239,5,-1,0,no
0,2317,0,1,0,20,4,114,1,152,2,no
7,132,1,1,0,7,7,148,1,152,1,no
4,16,1,1,0,19,11,140,3,-1,0,no
2,93,1,1,0,7,7,125,2,-1,0,no
3,543,1,1,0,30,1,169,3,-1,0,no
4,5883,1,1,0,20,11,182,2,-1,0,no
6,784,1,0,0,30,7,149,2,-1,0,no
0,105,1,0,0,21,8,74,2,-1,0,no
5,4189,1,1,1,14,7,897,2,-1,0,yes
9,171,1,1,0,27,8,81,3,-1,0,no
4,42,1,1,0,21,11,40,1,-1,0,no
4,2536,0,1,0,26,8,958,6,-1,0,yes
9,1235,1,1,0,13,8,354,3,-1,0,yes
5,229,1,1,1,22,10,97,1,-1,0,yes
1,2089,0,1,0,14,11,132,1,-1,0,yes
4,3935,0,1,0,6,5,765,1,342,2,yes
4,553,1,1,0,11,8,106,2,-1,0,no
1,1117,0,1,0,13,5,365,1,-1,0,no
9,396,0,1,0,13,5,205,3,-1,0,no
9,2204,0,1,0,21,11,11,4,-1,0,no
1,145,1,1,1,2,2,59,3,5,2,no
2,-849,0,0,0,4,2,204,1,-1,0,no
9,228,0,1,0,20,8,1740,2,-1,0,no
9,50,1,1,0,29,8,98,2,-1,0,no
9,1539,0,1,0,15,6,441,1,56,1,yes
1,2231,0,1,0,14,7,272,3,-1,0,no
0,3064,0,1,1,15,7,159,2,-1,0,no
4,82,1,0,1,4,2,140,1,-1,0,no
6,2155,1,1,0,17,11,295,1,-1,0,no
1,-516,1,0,1,8,7,554,3,-1,0,no
5,415,0,1,0,7,10,323,1,-1,0,no
4,5887,1,1,0,13,8,227,2,-1,0,no
7,1355,1,1,0,4,7,134,2,-1,0,no
0,16873,1,1,0,7,10,223,1,-1,0,no
1,203,0,1,0,8,5,134,1,170,5,no
7,338,0,1,0,28,1,155,1,-1,0,no
9,444,0,1,0,21,7,130,4,-1,0,no
4,0,1,0,0,7,7,630,3,-1,0,no
9,360,1,1,0,19,11,164,2,-1,0,no
4,0,1,1,0,16,7,268,2,182,3,yes
4,3222,1,1,0,14,8,67,2,-1,0,no
1,174,0,1,0,14,5,367,2,297,1,no
9,591,1,0,0,14,8,87,6,-1,0,no
1,388,1,1,0,5,2,701,1,-1,0,no
10,219,0,1,0,17,11,204,2,196,1,no
0,451,0,1,0,16,7,652,1,-1,0,yes
5,5,1,1,0,26,8,63,2,-1,0,no
0,177,0,0,0,6,5,150,1,-1,0,no
7,657,1,1,1,7,7,398,2,460,2,yes
4,1315,1,1,0,30,6,224,1,-1,0,yes
9,879,1,0,0,7,7,60,4,-1,0,no
0,424,0,1,0,17,4,279,1,-1,0,no
1,111,1,1,0,18,11,201,2,-1,0,no
7,-195,0,1,0,18,5,391,1,-1,0,yes
4,3616,1,1,0,14,8,165,2,-1,0,no
1,14093,1,1,0,11,8,231,5,-1,0,no
0,261,1,1,0,19,10,233,1,137,20,no
1,2843,1,1,0,12,2,473,1,182,1,no
